Year,County,Age,Total Population
2024,Collin,69 Years,9715
2024,Collin,70 Years,8809
2024,Collin,71 Years,8583
2024,Collin,72 Years,7807
2024,Collin,73 Years,7427
2024,Collin,74 Years,7430
2024,Collin,75 Years,6973
2024,Collin,76 Years,7192
2024,Collin,77 Years,6983
2024,Collin,78 Years,4942
2024,Collin,79 Years,4742
2024,Collin,80 Years,4668
2024,Collin,81 Years,4397
2024,Collin,82 Years,3713
2024,Collin,83 Years,3159
2024,Collin,84 Years,2737
2024,Collin,85 Years,2461
2024,Collin,86 Years,2092
2024,Collin,87 Years,1775
2024,Collin,88 Years,1713
2024,Collin,89 Years,1216
2024,Collin,90 Years,1058
2024,Collin,91 Years,903
2024,Collin,92 Years,651
2024,Collin,93 Years,676
2024,Collin,94 Years,596
2024,Collin,95+ Years,1738
2024,Dallam,< 01 Year,183
2024,Dallam,01 Years,165
2024,Dallam,02 Years,161
2024,Dallam,03 Years,183
2024,Dallam,04 Years,116
2024,Dallam,05 Years,131
2024,Dallam,06 Years,133
2024,Dallam,07 Years,121
2024,Dallam,08 Years,121
2024,Dallam,09 Years,110
2024,Dallam,10 Years,146
2024,Dallam,11 Years,103
2024,Dallam,12 Years,121
2024,Dallam,13 Years,97
2024,Dallam,14 Years,112
2024,Dallam,15 Years,106
2024,Dallam,16 Years,123
2024,Dallam,17 Years,136
2024,Dallam,18 Years,88
2024,Dallam,19 Years,92
2024,Dallam,20 Years,108
2024,Dallam,21 Years,135
2024,Dallam,22 Years,90
2024,Dallam,23 Years,83
2024,Dallam,24 Years,74
2024,Dallam,25 Years,77
2024,Dallam,26 Years,99
2024,Dallam,27 Years,112
2024,Dallam,28 Years,93
2024,Dallam,29 Years,159
2024,Dallam,30 Years,88
2024,Dallam,31 Years,95
2024,Dallam,32 Years,103
2024,Dallam,33 Years,169
2024,Dallam,34 Years,141
2024,Dallam,35 Years,75
2024,Dallam,36 Years,100
2024,Dallam,37 Years,124
2024,Dallam,38 Years,101
2024,Dallam,39 Years,102
2024,Dallam,40 Years,109
2024,Dallam,41 Years,89
2024,Dallam,42 Years,98
2024,Dallam,43 Years,82
2024,Dallam,44 Years,110
2024,Dallam,45 Years,74
2024,Dallam,46 Years,60
2024,Dallam,47 Years,85
2024,Dallam,48 Years,66
2024,Dallam,49 Years,76
2024,Dallam,50 Years,56
2024,Dallam,51 Years,80
2024,Dallam,52 Years,81
2024,Dallam,53 Years,118
2024,Dallam,54 Years,113
2024,Dallam,55 Years,56
2024,Dallam,56 Years,89
2024,Dallam,57 Years,40
2024,Dallam,58 Years,83
2024,Dallam,59 Years,84
2024,Dallam,60 Years,73
2024,Dallam,61 Years,99
2024,Dallam,62 Years,80
2024,Dallam,63 Years,72
2024,Dallam,64 Years,59
2024,Dallam,65 Years,65
2024,Dallam,66 Years,75
2024,Dallam,67 Years,45
2024,Dallam,68 Years,39
2024,Dallam,69 Years,42
2024,Dallam,70 Years,78
2024,Dallam,71 Years,93
2024,Dallam,72 Years,36
2024,Dallam,73 Years,52
2024,Dallam,74 Years,55
2024,Dallam,75 Years,45
2024,Dallam,76 Years,27
2024,Dallam,77 Years,38
2024,Dallam,78 Years,42
2024,Dallam,79 Years,20
2024,Dallam,80 Years,29
2024,Dallam,81 Years,18
2024,Dallam,82 Years,18
2024,Dallam,83 Years,51
2024,Dallam,84 Years,18
2024,Dallam,85 Years,6
2024,Dallam,86 Years,12
2024,Dallam,87 Years,9
2024,Dallam,88 Years,16
2024,Dallam,89 Years,4
2024,Dallam,90 Years,6
2024,Dallam,91 Years,2
2024,Dallam,92 Years,3
2024,Dallam,93 Years,1
2024,Dallam,94 Years,0
2024,Dallam,95+ Years,3
2024,Dawson,< 01 Year,159
2024,Dawson,01 Years,151
2024,Dawson,02 Years,154
2024,Dawson,03 Years,170
2024,Dawson,04 Years,154
2024,Dawson,05 Years,124
2024,Dawson,06 Years,143
2024,Dawson,07 Years,150
2024,Dawson,08 Years,160
2024,Dawson,09 Years,138
2024,Dawson,10 Years,152
2024,Dawson,11 Years,150
2024,Dawson,12 Years,142
2024,Dawson,13 Years,150
2024,Dawson,14 Years,178
2024,Dawson,15 Years,188
2024,Dawson,16 Years,165
2024,Dawson,17 Years,194
2024,Dawson,18 Years,153
2024,Dawson,19 Years,155
2024,Dawson,20 Years,185
2024,Dawson,21 Years,178
2024,Dawson,22 Years,153
2024,Dawson,23 Years,173
2024,Dawson,24 Years,126
2024,Dawson,25 Years,158
2024,Dawson,26 Years,129
2024,Dawson,27 Years,157
2024,Dawson,28 Years,181
2024,Dawson,29 Years,162
2024,Dawson,30 Years,130
2024,Dawson,31 Years,167
2024,Dawson,32 Years,173
2024,Dawson,33 Years,138
2024,Dawson,34 Years,179
2024,Dawson,35 Years,131
2024,Dawson,36 Years,166
2024,Dawson,37 Years,172
2024,Dawson,38 Years,118
2024,Dawson,39 Years,163
2024,Dawson,40 Years,156
2024,Dawson,41 Years,164
2024,Dawson,42 Years,141
2024,Dawson,43 Years,129
2024,Dawson,44 Years,169
2024,Dawson,45 Years,132
2024,Dawson,46 Years,137
2024,Dawson,47 Years,110
2024,Dawson,48 Years,129
2024,Dawson,49 Years,111
2024,Dawson,50 Years,137
2024,Dawson,51 Years,145
2024,Dawson,52 Years,130
2024,Dawson,53 Years,113
2024,Dawson,54 Years,123
2024,Dawson,55 Years,125
2024,Dawson,56 Years,120
2024,Dawson,57 Years,155
2024,Dawson,58 Years,101
2024,Dawson,59 Years,157
2024,Dawson,60 Years,140
2024,Dawson,61 Years,102
2024,Dawson,62 Years,122
2024,Dawson,63 Years,148
2024,Dawson,64 Years,158
2024,Dawson,65 Years,126
2024,Dawson,66 Years,138
2024,Dawson,67 Years,131
2024,Dawson,68 Years,127
2024,Dawson,69 Years,121
2024,Dawson,70 Years,137
2024,Dawson,71 Years,115
2024,Dawson,72 Years,117
2024,Dawson,73 Years,121
2024,Dawson,74 Years,88
2024,Dawson,75 Years,84
2024,Dawson,76 Years,86
2024,Dawson,77 Years,94
2024,Dawson,78 Years,76
2024,Dawson,79 Years,64
2024,Dawson,80 Years,66
2024,Dawson,81 Years,72
2024,Dawson,82 Years,45
2024,Dawson,83 Years,30
2024,Dawson,84 Years,35
2024,Dawson,85 Years,41
2024,Dawson,86 Years,25
2024,Dawson,87 Years,40
2024,Dawson,88 Years,70
2024,Dawson,89 Years,38
2024,Dawson,90 Years,34
2024,Dawson,91 Years,6
2024,Dawson,92 Years,12
2024,Dawson,93 Years,13
2024,Dawson,94 Years,10
2024,Dawson,95+ Years,12
2024,Eastland,< 01 Year,190
2024,Eastland,01 Years,208
2024,Eastland,02 Years,215
2024,Eastland,03 Years,215
2024,Eastland,04 Years,215
2024,Eastland,05 Years,187
2024,Eastland,06 Years,183
2024,Eastland,07 Years,224
2024,Eastland,08 Years,208
2024,Eastland,09 Years,217
2024,Eastland,10 Years,207
2024,Eastland,11 Years,215
2024,Eastland,12 Years,188
2024,Eastland,13 Years,184
2024,Eastland,14 Years,245
2024,Eastland,15 Years,196
2024,Eastland,16 Years,239
2024,Eastland,17 Years,208
2024,Eastland,18 Years,263
2024,Eastland,19 Years,464
2024,Eastland,20 Years,387
2024,Eastland,21 Years,270
2024,Eastland,22 Years,293
2024,Eastland,23 Years,215
2024,Eastland,24 Years,212
2024,Eastland,25 Years,183
2024,Eastland,26 Years,174
2024,Eastland,27 Years,156
2024,Eastland,28 Years,239
2024,Eastland,29 Years,185
2024,Eastland,30 Years,160
2024,Eastland,31 Years,147
2024,Eastland,32 Years,184
2024,Eastland,33 Years,183
2024,Eastland,34 Years,182
2024,Eastland,35 Years,204
2024,Eastland,36 Years,169
2024,Eastland,37 Years,138
2024,Eastland,38 Years,188
2024,Eastland,39 Years,223
2024,Eastland,40 Years,167
2024,Eastland,41 Years,153
2024,Eastland,42 Years,217
2024,Eastland,43 Years,197
2024,Eastland,44 Years,196
2024,Eastland,45 Years,217
2024,Eastland,46 Years,181
2024,Eastland,47 Years,171
2024,Eastland,48 Years,198
2024,Eastland,49 Years,183
2024,Eastland,50 Years,184
2024,Eastland,51 Years,152
2024,Eastland,52 Years,203
2024,Eastland,53 Years,207
2024,Eastland,54 Years,224
2024,Eastland,55 Years,215
2024,Eastland,56 Years,176
2024,Eastland,57 Years,171
2024,Eastland,58 Years,227
2024,Eastland,59 Years,252
2024,Eastland,60 Years,187
2024,Eastland,61 Years,230
2024,Eastland,62 Years,281
2024,Eastland,63 Years,282
2024,Eastland,64 Years,289
2024,Eastland,65 Years,291
2024,Eastland,66 Years,282
2024,Eastland,67 Years,263
2024,Eastland,68 Years,272
2024,Eastland,69 Years,262
2024,Eastland,70 Years,204
2024,Eastland,71 Years,216
2024,Eastland,72 Years,225
2024,Eastland,73 Years,223
2024,Eastland,74 Years,194
2024,Eastland,75 Years,178
2024,Eastland,76 Years,210
2024,Eastland,77 Years,226
2024,Eastland,78 Years,157
2024,Eastland,79 Years,178
2024,Eastland,80 Years,122
2024,Eastland,81 Years,142
2024,Eastland,82 Years,129
2024,Eastland,83 Years,97
2024,Eastland,84 Years,111
2024,Eastland,85 Years,121
2024,Eastland,86 Years,90
2024,Eastland,87 Years,53
2024,Eastland,88 Years,53
2024,Eastland,89 Years,58
2024,Eastland,90 Years,19
2024,Eastland,91 Years,25
2024,Eastland,92 Years,8
2024,Eastland,93 Years,40
2024,Eastland,94 Years,18
2024,Eastland,95+ Years,13
2024,Ector,< 01 Year,3016
2024,Ector,01 Years,2993
2024,Ector,02 Years,2889
2024,Ector,03 Years,2770
2024,Ector,04 Years,2417
2024,Ector,05 Years,2366
2024,Ector,06 Years,2398
2024,Ector,07 Years,2461
2024,Ector,08 Years,2517
2024,Ector,09 Years,2740
2024,Ector,10 Years,2688
2024,Ector,11 Years,2640
2024,Ector,12 Years,2586
2024,Ector,13 Years,2504
2024,Ector,14 Years,2763
2024,Ector,15 Years,2785
2024,Ector,16 Years,2764
2024,Ector,17 Years,2795
2024,Ector,18 Years,2576
2024,Ector,19 Years,2567
2024,Ector,20 Years,2654
2024,Ector,21 Years,2543
2024,Ector,22 Years,2549
2024,Ector,23 Years,2424
2024,Ector,24 Years,2440
2024,Ector,25 Years,2409
2024,Ector,26 Years,2208
2024,Ector,27 Years,2322
2024,Ector,28 Years,2200
2024,Ector,29 Years,2673
2024,Ector,30 Years,2440
2024,Ector,31 Years,2583
2024,Ector,32 Years,2752
2024,Ector,33 Years,2710
2024,Ector,34 Years,3240
2024,Ector,35 Years,2561
2024,Ector,36 Years,2663
2024,Ector,37 Years,2622
2024,Ector,38 Years,2484
2024,Ector,39 Years,2924
2024,Ector,40 Years,2370
2024,Ector,41 Years,2408
2024,Ector,42 Years,2299
2024,Ector,43 Years,2239
2024,Ector,44 Years,2439
2024,Ector,45 Years,1980
2024,Ector,46 Years,1971
2024,Ector,47 Years,1864
2024,Ector,48 Years,1817
2024,Ector,49 Years,2143
2024,Ector,50 Years,1732
2024,Ector,51 Years,1781
2024,Ector,52 Years,1871
2024,Ector,53 Years,1923
2024,Ector,54 Years,2018
2024,Ector,55 Years,1669
2024,Ector,56 Years,1773
2024,Ector,57 Years,1628
2024,Ector,58 Years,1720
2024,Ector,59 Years,1931
2024,Ector,60 Years,1837
2024,Ector,61 Years,1755
2024,Ector,62 Years,1711
2024,Ector,63 Years,1735
2024,Ector,64 Years,1825
2024,Ector,65 Years,1704
2024,Ector,66 Years,1630
2024,Ector,67 Years,1585
2024,Ector,68 Years,1431
2024,Ector,69 Years,1450
2024,Ector,70 Years,1242
2024,Ector,71 Years,1198
2024,Ector,72 Years,1096
2024,Ector,73 Years,911
2024,Ector,74 Years,991
2024,Ector,75 Years,788
2024,Ector,76 Years,869
2024,Ector,77 Years,722
2024,Ector,78 Years,549
2024,Ector,79 Years,530
2024,Ector,80 Years,546
2024,Ector,81 Years,498
2024,Ector,82 Years,386
2024,Ector,83 Years,362
2024,Ector,84 Years,319
2024,Ector,85 Years,322
2024,Ector,86 Years,365
2024,Ector,87 Years,200
2024,Ector,88 Years,253
2024,Ector,89 Years,247
2024,Ector,90 Years,135
2024,Ector,91 Years,168
2024,Ector,92 Years,144
2024,Ector,93 Years,80
2024,Ector,94 Years,100
2024,Ector,95+ Years,350
2024,El Paso,< 01 Year,10683
2024,El Paso,01 Years,11145
2024,El Paso,02 Years,11216
2024,El Paso,03 Years,10984
2024,El Paso,04 Years,10030
2024,El Paso,05 Years,9982
2024,El Paso,06 Years,10507
2024,El Paso,07 Years,11108
2024,El Paso,08 Years,11584
2024,El Paso,09 Years,11827
2024,El Paso,10 Years,11759
2024,El Paso,11 Years,11898
2024,El Paso,12 Years,11995
2024,El Paso,13 Years,12051
2024,El Paso,14 Years,12676
2024,El Paso,15 Years,13449
2024,El Paso,16 Years,13851
2024,El Paso,17 Years,13790
2024,El Paso,18 Years,13958
2024,El Paso,19 Years,14508
2024,El Paso,20 Years,15036
2024,El Paso,21 Years,15291
2024,El Paso,22 Years,14735
2024,El Paso,23 Years,15115
2024,El Paso,24 Years,14578
2024,El Paso,25 Years,14029
2024,El Paso,26 Years,13476
2024,El Paso,27 Years,13029
2024,El Paso,28 Years,13261
2024,El Paso,29 Years,13627
2024,El Paso,30 Years,12846
2024,El Paso,31 Years,12669
2024,El Paso,32 Years,12248
2024,El Paso,33 Years,12083
2024,El Paso,34 Years,12411
2024,El Paso,35 Years,11286
2024,El Paso,36 Years,10817
2024,El Paso,37 Years,10808
2024,El Paso,38 Years,10959
2024,El Paso,39 Years,11253
2024,El Paso,40 Years,10264
2024,El Paso,41 Years,10153
2024,El Paso,42 Years,10223
2024,El Paso,43 Years,9739
2024,El Paso,44 Years,10241
2024,El Paso,45 Years,8884
2024,El Paso,46 Years,9315
2024,El Paso,47 Years,9640
2024,El Paso,48 Years,9527
2024,El Paso,49 Years,10370
2024,El Paso,50 Years,9606
2024,El Paso,51 Years,10292
2024,El Paso,52 Years,10141
2024,El Paso,53 Years,10020
2024,El Paso,54 Years,10524
2024,El Paso,55 Years,9364
2024,El Paso,56 Years,9390
2024,El Paso,57 Years,9283
2024,El Paso,58 Years,9282
2024,El Paso,59 Years,9912
2024,El Paso,60 Years,9551
2024,El Paso,61 Years,9556
2024,El Paso,62 Years,9701
2024,El Paso,63 Years,9672
2024,El Paso,64 Years,10119
2024,El Paso,65 Years,9146
2024,El Paso,66 Years,9001
2024,El Paso,67 Years,8624
2024,El Paso,68 Years,8376
2024,El Paso,69 Years,8353
2024,El Paso,70 Years,7572
2024,El Paso,71 Years,7232
2024,El Paso,72 Years,6798
2024,El Paso,73 Years,6442
2024,El Paso,74 Years,6215
2024,El Paso,75 Years,5711
2024,El Paso,76 Years,5614
2024,El Paso,77 Years,5202
2024,El Paso,78 Years,4135
2024,El Paso,79 Years,3864
2024,El Paso,80 Years,3680
2024,El Paso,81 Years,3333
2024,El Paso,82 Years,3052
2024,El Paso,83 Years,2756
2024,El Paso,84 Years,2760
2024,El Paso,85 Years,2402
2024,El Paso,86 Years,2216
2024,El Paso,87 Years,1842
2024,El Paso,88 Years,1641
2024,El Paso,89 Years,1525
2024,El Paso,90 Years,1242
2024,El Paso,91 Years,1028
2024,El Paso,92 Years,921
2024,El Paso,93 Years,828
2024,El Paso,94 Years,869
2024,El Paso,95+ Years,2618
2024,Erath,< 01 Year,439
2024,Erath,01 Years,468
2024,Erath,02 Years,497
2024,Erath,03 Years,458
2024,Erath,04 Years,402
2024,Erath,05 Years,459
2024,Erath,06 Years,460
2024,Erath,07 Years,476
2024,Erath,08 Years,472
2024,Erath,09 Years,509
2024,Erath,10 Years,517
2024,Erath,11 Years,522
2024,Erath,12 Years,506
2024,Erath,13 Years,472
2024,Erath,14 Years,503
2024,Erath,15 Years,512
2024,Erath,16 Years,506
2024,Erath,17 Years,567
2024,Erath,18 Years,1125
2024,Erath,19 Years,1995
2024,Erath,20 Years,1674
2024,Erath,21 Years,1354
2024,Erath,22 Years,1145
2024,Erath,23 Years,900
2024,Erath,24 Years,729
2024,Erath,25 Years,538
2024,Erath,26 Years,541
2024,Erath,27 Years,541
2024,Erath,28 Years,595
2024,Erath,29 Years,608
2024,Erath,30 Years,512
2024,Erath,31 Years,564
2024,Erath,32 Years,562
2024,Erath,33 Years,564
2024,Erath,34 Years,552
2024,Erath,35 Years,506
2024,Erath,36 Years,516
2024,Erath,37 Years,510
2024,Erath,38 Years,430
2024,Erath,39 Years,528
2024,Erath,40 Years,454
2024,Erath,41 Years,457
2024,Erath,42 Years,423
2024,Erath,43 Years,498
2024,Erath,44 Years,458
2024,Erath,45 Years,416
2024,Erath,46 Years,431
2024,Erath,47 Years,419
2024,Erath,48 Years,359
2024,Erath,49 Years,438
2024,Erath,50 Years,371
2024,Erath,51 Years,386
2024,Erath,52 Years,397
2024,Erath,53 Years,388
2024,Erath,54 Years,470
2024,Erath,55 Years,395
2024,Erath,56 Years,349
2024,Erath,57 Years,460
2024,Erath,58 Years,421
2024,Erath,59 Years,460
2024,Erath,60 Years,468
2024,Erath,61 Years,399
2024,Erath,62 Years,461
2024,Erath,63 Years,446
2024,Erath,64 Years,492
2024,Erath,65 Years,456
2024,Erath,66 Years,431
2024,Erath,67 Years,414
2024,Erath,68 Years,434
2024,Erath,69 Years,424
2024,Erath,70 Years,434
2024,Erath,71 Years,375
2024,Erath,72 Years,343
2024,Erath,73 Years,325
2024,Erath,74 Years,349
2024,Erath,75 Years,321
2024,Erath,76 Years,385
2024,Erath,77 Years,361
2024,Erath,78 Years,218
2024,Erath,79 Years,222
2024,Erath,80 Years,249
2024,Erath,81 Years,205
2024,Erath,82 Years,160
2024,Erath,83 Years,158
2024,Erath,84 Years,137
2024,Erath,85 Years,108
2024,Erath,86 Years,109
2024,Erath,87 Years,89
2024,Erath,88 Years,89
2024,Erath,89 Years,81
2024,Erath,90 Years,103
2024,Erath,91 Years,35
2024,Erath,92 Years,68
2024,Erath,93 Years,55
2024,Erath,94 Years,34
2024,Erath,95+ Years,112
2024,Fannin,< 01 Year,395
2024,Fannin,01 Years,385
2024,Fannin,02 Years,386
2024,Fannin,03 Years,407
2024,Fannin,04 Years,377
2024,Fannin,05 Years,333
2024,Fannin,06 Years,385
2024,Fannin,07 Years,409
2024,Fannin,08 Years,443
2024,Fannin,09 Years,462
2024,Fannin,10 Years,436
2024,Fannin,11 Years,486
2024,Fannin,12 Years,416
2024,Fannin,13 Years,486
2024,Fannin,14 Years,476
2024,Fannin,15 Years,509
2024,Fannin,16 Years,538
2024,Fannin,17 Years,515
2024,Fannin,18 Years,542
2024,Fannin,19 Years,543
2024,Fannin,20 Years,586
2024,Fannin,21 Years,582
2024,Fannin,22 Years,505
2024,Fannin,23 Years,493
2024,Fannin,24 Years,438
2024,Fannin,25 Years,476
2024,Fannin,26 Years,458
2024,Fannin,27 Years,420
2024,Fannin,28 Years,489
2024,Fannin,29 Years,499
2024,Fannin,30 Years,463
2024,Fannin,31 Years,475
2024,Fannin,32 Years,471
2024,Fannin,33 Years,511
2024,Fannin,34 Years,527
2024,Fannin,35 Years,483
2024,Fannin,36 Years,452
2024,Fannin,37 Years,481
2024,Fannin,38 Years,492
2024,Fannin,39 Years,543
2024,Fannin,40 Years,486
2024,Fannin,41 Years,529
2024,Fannin,42 Years,470
2024,Fannin,43 Years,486
2024,Fannin,44 Years,567
2024,Fannin,45 Years,476
2024,Fannin,46 Years,427
2024,Fannin,47 Years,450
2024,Fannin,48 Years,387
2024,Fannin,49 Years,503
2024,Fannin,50 Years,447
2024,Fannin,51 Years,433
2024,Fannin,52 Years,458
2024,Fannin,53 Years,443
2024,Fannin,54 Years,478
2024,Fannin,55 Years,427
2024,Fannin,56 Years,475
2024,Fannin,57 Years,476
2024,Fannin,58 Years,474
2024,Fannin,59 Years,581
2024,Fannin,60 Years,494
2024,Fannin,61 Years,533
2024,Fannin,62 Years,503
2024,Fannin,63 Years,546
2024,Fannin,64 Years,592
2024,Fannin,65 Years,496
2024,Fannin,66 Years,489
2024,Fannin,67 Years,475
2024,Fannin,68 Years,458
2024,Fannin,69 Years,451
2024,Fannin,70 Years,418
2024,Fannin,71 Years,409
2024,Fannin,72 Years,397
2024,Fannin,73 Years,350
2024,Fannin,74 Years,395
2024,Fannin,75 Years,401
2024,Fannin,76 Years,351
2024,Fannin,77 Years,344
2024,Fannin,78 Years,241
2024,Fannin,79 Years,296
2024,Fannin,80 Years,248
2024,Fannin,81 Years,205
2024,Fannin,82 Years,211
2024,Fannin,83 Years,165
2024,Fannin,84 Years,189
2024,Fannin,85 Years,151
2024,Fannin,86 Years,137
2024,Fannin,87 Years,102
2024,Fannin,88 Years,89
2024,Fannin,89 Years,102
2024,Fannin,90 Years,69
2024,Fannin,91 Years,71
2024,Fannin,92 Years,24
2024,Fannin,93 Years,38
2024,Fannin,94 Years,30
2024,Fannin,95+ Years,88
2024,Gaines,< 01 Year,526
2024,Gaines,01 Years,491
2024,Gaines,02 Years,451
2024,Gaines,03 Years,453
2024,Gaines,04 Years,391
2024,Gaines,05 Years,417
2024,Gaines,06 Years,404
2024,Gaines,07 Years,396
2024,Gaines,08 Years,454
2024,Gaines,09 Years,387
2024,Gaines,10 Years,404
2024,Gaines,11 Years,395
2024,Gaines,12 Years,412
2024,Gaines,13 Years,413
2024,Gaines,14 Years,447
2024,Gaines,15 Years,413
2024,Gaines,16 Years,420
2024,Gaines,17 Years,408
2024,Gaines,18 Years,427
2024,Gaines,19 Years,449
2024,Gaines,20 Years,388
2024,Gaines,21 Years,447
2024,Gaines,22 Years,374
2024,Gaines,23 Years,366
2024,Gaines,24 Years,330
2024,Gaines,25 Years,314
2024,Gaines,26 Years,341
2024,Gaines,27 Years,328
2024,Gaines,28 Years,323
2024,Gaines,29 Years,360
2024,Gaines,30 Years,331
2024,Gaines,31 Years,322
2024,Gaines,32 Years,268
2024,Gaines,33 Years,285
2024,Gaines,34 Years,261
2024,Gaines,35 Years,295
2024,Gaines,36 Years,327
2024,Gaines,37 Years,284
2024,Gaines,38 Years,317
2024,Gaines,39 Years,297
2024,Gaines,40 Years,252
2024,Gaines,41 Years,205
2024,Gaines,42 Years,298
2024,Gaines,43 Years,277
2024,Gaines,44 Years,251
2024,Gaines,45 Years,255
2024,Gaines,46 Years,258
2024,Gaines,47 Years,216
2024,Gaines,48 Years,234
2024,Gaines,49 Years,230
2024,Gaines,50 Years,232
2024,Gaines,51 Years,178
2024,Gaines,52 Years,237
2024,Gaines,53 Years,208
2024,Gaines,54 Years,260
2024,Gaines,55 Years,197
2024,Gaines,56 Years,215
2024,Gaines,57 Years,189
2024,Gaines,58 Years,196
2024,Gaines,59 Years,236
2024,Gaines,60 Years,254
2024,Gaines,61 Years,197
2024,Gaines,62 Years,191
2024,Gaines,63 Years,249
2024,Gaines,64 Years,188
2024,Gaines,65 Years,201
2024,Gaines,66 Years,171
2024,Gaines,67 Years,165
2024,Gaines,68 Years,139
2024,Gaines,69 Years,154
2024,Gaines,70 Years,154
2024,Gaines,71 Years,107
2024,Gaines,72 Years,160
2024,Gaines,73 Years,100
2024,Gaines,74 Years,76
2024,Gaines,75 Years,104
2024,Gaines,76 Years,109
2024,Gaines,77 Years,91
2024,Gaines,78 Years,67
2024,Gaines,79 Years,49
2024,Gaines,80 Years,42
2024,Gaines,81 Years,55
2024,Gaines,82 Years,42
2024,Gaines,83 Years,66
2024,Gaines,84 Years,33
2024,Gaines,85 Years,70
2024,Gaines,86 Years,32
2024,Gaines,87 Years,39
2024,Gaines,88 Years,29
2024,Gaines,89 Years,25
2024,Gaines,90 Years,18
2024,Gaines,91 Years,28
2024,Gaines,92 Years,11
2024,Gaines,93 Years,6
2024,Gaines,94 Years,3
2024,Gaines,95+ Years,25
2024,Garza,< 01 Year,49
2024,Garza,01 Years,45
2024,Garza,02 Years,49
2024,Garza,03 Years,45
2024,Garza,04 Years,38
2024,Garza,05 Years,50
2024,Garza,06 Years,48
2024,Garza,07 Years,40
2024,Garza,08 Years,52
2024,Garza,09 Years,49
2024,Garza,10 Years,54
2024,Garza,11 Years,39
2024,Garza,12 Years,41
2024,Garza,13 Years,51
2024,Garza,14 Years,55
2024,Garza,15 Years,72
2024,Garza,16 Years,71
2024,Garza,17 Years,69
2024,Garza,18 Years,67
2024,Garza,19 Years,53
2024,Garza,20 Years,71
2024,Garza,21 Years,80
2024,Garza,22 Years,73
2024,Garza,23 Years,68
2024,Garza,24 Years,46
2024,Garza,25 Years,60
2024,Garza,26 Years,99
2024,Garza,27 Years,86
2024,Garza,28 Years,79
2024,Garza,29 Years,87
2024,Garza,30 Years,86
2024,Garza,31 Years,67
2024,Garza,32 Years,85
2024,Garza,33 Years,85
2024,Garza,34 Years,98
2024,Garza,35 Years,95
2024,Garza,36 Years,94
2024,Garza,37 Years,88
2024,Garza,38 Years,104
2024,Garza,39 Years,105
2024,Garza,40 Years,74
2024,Garza,41 Years,81
2024,Garza,42 Years,99
2024,Garza,43 Years,105
2024,Garza,44 Years,96
2024,Garza,45 Years,88
2024,Garza,46 Years,78
2024,Garza,47 Years,90
2024,Garza,48 Years,86
2024,Garza,49 Years,89
2024,Garza,50 Years,60
2024,Garza,51 Years,92
2024,Garza,52 Years,54
2024,Garza,53 Years,67
2024,Garza,54 Years,55
2024,Garza,55 Years,81
2024,Garza,56 Years,60
2024,Garza,57 Years,66
2024,Garza,58 Years,57
2024,Garza,59 Years,71
2024,Garza,60 Years,48
2024,Garza,61 Years,54
2024,Garza,62 Years,66
2024,Garza,63 Years,66
2024,Garza,64 Years,67
2024,Garza,65 Years,66
2024,Garza,66 Years,52
2024,Garza,67 Years,53
2024,Garza,68 Years,64
2024,Garza,69 Years,43
2024,Garza,70 Years,57
2024,Garza,71 Years,45
2024,Garza,72 Years,56
2024,Garza,73 Years,27
2024,Garza,74 Years,59
2024,Garza,75 Years,34
2024,Garza,76 Years,45
2024,Garza,77 Years,16
2024,Garza,78 Years,25
2024,Garza,79 Years,23
2024,Garza,80 Years,21
2024,Garza,81 Years,30
2024,Garza,82 Years,38
2024,Garza,83 Years,32
2024,Garza,84 Years,14
2024,Garza,85 Years,15
2024,Garza,86 Years,16
2024,Garza,87 Years,41
2024,Garza,88 Years,19
2024,Garza,89 Years,19
2024,Garza,90 Years,5
2024,Garza,91 Years,10
2024,Garza,92 Years,3
2024,Garza,93 Years,0
2024,Garza,94 Years,1
2024,Garza,95+ Years,4
2024,Hale,< 01 Year,395
2024,Hale,01 Years,418
2024,Hale,02 Years,414
2024,Hale,03 Years,403
2024,Hale,04 Years,384
2024,Hale,05 Years,375
2024,Hale,06 Years,354
2024,Hale,07 Years,395
2024,Hale,08 Years,400
2024,Hale,09 Years,422
2024,Hale,10 Years,425
2024,Hale,11 Years,389
2024,Hale,12 Years,460
2024,Hale,13 Years,479
2024,Hale,14 Years,534
2024,Hale,15 Years,500
2024,Hale,16 Years,528
2024,Hale,17 Years,556
2024,Hale,18 Years,470
2024,Hale,19 Years,489
2024,Hale,20 Years,577
2024,Hale,21 Years,491
2024,Hale,22 Years,528
2024,Hale,23 Years,483
2024,Hale,24 Years,476
2024,Hale,25 Years,385
2024,Hale,26 Years,428
2024,Hale,27 Years,388
2024,Hale,28 Years,398
2024,Hale,29 Years,336
2024,Hale,30 Years,362
2024,Hale,31 Years,370
2024,Hale,32 Years,426
2024,Hale,33 Years,371
2024,Hale,34 Years,409
2024,Hale,35 Years,396
2024,Hale,36 Years,433
2024,Hale,37 Years,379
2024,Hale,38 Years,397
2024,Hale,39 Years,421
2024,Hale,40 Years,339
2024,Hale,41 Years,334
2024,Hale,42 Years,378
2024,Hale,43 Years,360
2024,Hale,44 Years,415
2024,Hale,45 Years,358
2024,Hale,46 Years,313
2024,Hale,47 Years,310
2024,Hale,48 Years,322
2024,Hale,49 Years,372
